title,extract,url
Dr. No (film),"Dr. No is a 1962 British spy film directed by Terence Young. It is the first film in the James Bond series and stars Sean Connery as the fictional MI6 agent James Bond. Co-starring Ursula Andress, Joseph Wiseman and Jack Lord, it was adapted by Richard Maibaum, Johanna Harwood, and Berkely Mather from the 1958 novel by Ian Fleming. The film was produced by Harry Saltzman and Albert R. Broccoli of Eon Productions, a partnership that continued until 1975. In the film, James Bond is sent to Jamaica to investigate the disappearance of a fellow British agent. The trail leads him to the underground base of Dr. Julius No, who is plotting to disrupt an early American space launch from Cape Canaveral with a radio beam weapon.",https://en.wikipedia.org/wiki/Dr._No_(film)
From Russia with Love (film),"From Russia with Love is a 1963 spy film directed by Terence Young and the second in the James Bond series. It was produced by Eon Productions, starring Sean Connery as the fictional MI6 agent James Bond.",https://en.wikipedia.org/wiki/From_Russia_with_Love_(film)
Goldfinger (film),"Goldfinger is a 1964 spy film and the third installment in the James Bond series produced by Eon Productions, starring Sean Connery as the fictional MI6 agent James Bond. It is based on the 1959 novel of the same title by Ian Fleming. The film also stars Honor Blackman, Gert Fröbe and Shirley Eaton. Goldfinger was produced by Albert R. Broccoli and Harry Saltzman. The film was the first of four Bond films directed by Guy Hamilton.",https://en.wikipedia.org/wiki/Goldfinger_(film)
Thunderball (film),"Thunderball is a 1965 spy film and the fourth in the James Bond series produced by Eon Productions, starring Sean Connery as the fictional MI6 agent James Bond. It is an adaptation of the 1961 novel of the same name by Ian Fleming, which in turn was based on an original screenplay by Jack Whittingham devised from a story conceived by Kevin McClory, Whittingham, and Fleming. It was the third and final Bond film to be directed by Terence Young, with its screenplay by Richard Maibaum and John Hopkins.",https://en.wikipedia.org/wiki/Thunderball_(film)
You Only Live Twice (film),"You Only Live Twice is a 1967 spy film and the fifth in the James Bond series produced by Eon Productions, starring Sean Connery as the fictional MI6 agent James Bond. It is the first of three Bond films to be directed by Lewis Gilbert. The screenplay of You Only Live Twice was written by Roald Dahl, and loosely based on Ian Fleming's 1964 novel of the same name. It is the first James Bond film to discard most of Fleming's plot, using only a few characters and locations from the book as the background for an entirely new story.",https://en.wikipedia.org/wiki/You_Only_Live_Twice_(film)
On Her Majesty's Secret Service (film),"On Her Majesty's Secret Service is a 1969 spy film and the sixth in the James Bond series produced by Eon Productions. It is based on the 1963 novel by Ian Fleming. Following Sean Connery's decision to retire from the role after You Only Live Twice, Eon selected George Lazenby, a model with no prior acting credits, to play the part of James Bond. During filming, Lazenby announced that he would play the role of Bond only once. Connery returned to portray Bond in 1971's Diamonds Are Forever.",https://en.wikipedia.org/wiki/On_Her_Majesty's_Secret_Service_(film)
Diamonds Are Forever (film),"Diamonds Are Forever is a 1971 spy film and the seventh film in the James Bond series produced by Eon Productions. It is the sixth and final Eon film to star Sean Connery, who returned to the role as the fictional MI6 agent James Bond, having declined to reprise the role in On Her Majesty's Secret Service (1969).",https://en.wikipedia.org/wiki/Diamonds_Are_Forever_(film)
Live and Let Die (film),"Live and Let Die is a 1973 spy film, the eighth film in the James Bond series produced by Eon Productions, the first to star Roger Moore as the fictional MI6 agent James Bond, and the third in the series directed by Guy Hamilton. It was produced by Albert R. Broccoli and Harry Saltzman, while Tom Mankiewicz wrote the script.",https://en.wikipedia.org/wiki/Live_and_Let_Die_(film)
The Man with the Golden Gun (film),"The Man with the Golden Gun is a 1974 spy film, the ninth in the James Bond series produced by Eon Productions and the second to star Roger Moore as the fictional MI6 agent James Bond. A loose adaptation of Ian Fleming's posthumously published 1965 novel of the same name, the film has Bond sent after the Solex Agitator, a breakthrough technological solution to contemporary energy shortages, while in a game of cat and mouse facing the assassin Francisco Scaramanga, the ""Man with the Golden Gun"". The action culminates in a duel between them that settles the fate of the Solex.",https://en.wikipedia.org/wiki/The_Man_with_the_Golden_Gun_(film)
The Spy Who Loved Me (film),"The Spy Who Loved Me is a 1977 spy film, the tenth in the James Bond series produced by Eon Productions. It is the third to star Roger Moore as the fictional secret agent James Bond and the second to be directed by Lewis Gilbert. The film co-stars Barbara Bach and Curt Jurgens. The screenplay was by Christopher Wood and Richard Maibaum, with an uncredited rewrite by Tom Mankiewicz.",https://en.wikipedia.org/wiki/The_Spy_Who_Loved_Me_(film)
